Año,Tipo_Vuelo,Servicio,Region_Aerolinea,Aerolinea,MesNum,Valor
2016,int,flet,can,air transat,1,52930
2016,int,flet,can,sunwing airlines,1,33932
2016,int,flet,csa,avianca,1,106
2016,int,flet,csa,copa airlines,1,318
2016,int,flet,csa,lacsa (lineas aereas costarricences),1,523
2016,int,flet,eur,flugleidir hf,1,5147
2016,int,flet,eur,hi-fly transportes aereos,1,507
2016,int,flet,eur,nordwind,1,1969
2016,int,flet,eur,orbest airlines,1,429
2016,int,flet,eur,polkie linie lotninicze,1,2476
2016,int,flet,eur,tui airways,1,33614
2016,int,flet,eur,tui airlines nederland,1,1635
2016,int,flet,eur,tuifly nordic,1,4631
2016,int,flet,eur,wamos air,1,4093
2016,int,flet,mex,aeromar,1,39
2016,int,flet,mex,aeromexico (aerovias de mexico),1,16526
2016,int,flet,mex,aeromexico connect (aerolitoral),1,499
2016,int,flet,mex,interjet (abc aerolineas),1,123
2016,int,flet,mex,magnicharters (grupo aereo monterrey),1,158
2016,int,flet,mex,servicios integrales de aviacion,1,87
2016,int,flet,mex,volaris (concesionaria vuela cia de aviacion),1,1077
2016,int,flet,usa,virgin america (alaska airlines),1,2493
2016,int,flet,usa,atlas air,1,881
2016,int,flet,usa,frontier,1,9902
2016,int,flet,usa,sun country airlines (mn airlines),1,2983
2016,int,flet,usa,miami air international,1,504
2016,int,flet,usa,swift air,1,1108
2016,int,flet,usa,tem enterprises,1,1407
2016,int,flet,usa,ultimate jetcharters,1,87
2016,int,reg,can,air canada,1,92751
2016,int,reg,can,air transat,1,71786
2016,int,reg,can,sunwing airlines,1,104876
2016,int,reg,can,west jet,1,151363
2016,int,reg,csa,aerolineas argentinas,1,12996
2016,int,reg,csa,aerorepublica,1,10735
2016,int,reg,csa,avianca,1,40702
2016,int,reg,csa,copa airlines,1,89390
2016,int,reg,csa,cubana de aviacion,1,13302
2016,int,reg,csa,lacsa (lineas aereas costarricences),1,7814
2016,int,reg,csa,lan chile airlines (latam chile),1,15693
2016,int,reg,csa,lan colombia (latam colombia),1,7951
2016,int,reg,csa,lan peru (latam peru),1,26395
2016,int,reg,csa,latam brasil (tam lineas aereas),1,15680
2016,int,reg,csa,taca international airlines,1,10332
2016,int,reg,csa,avianca (taca peru),1,8852
2016,int,reg,csa,tropic air limited,1,832
2016,int,reg,eur,air berlin plc & co.,1,6707
2016,int,reg,eur,air europa (air espana),1,8142
2016,int,reg,eur,air france,1,21099
2016,int,reg,eur,blue panorama,1,2944
2016,int,reg,eur,british airways,1,17008
2016,int,reg,eur,evelop airlines,1,5114
2016,int,reg,eur,iberia,1,31874
2016,int,reg,eur,klm,1,17531
2016,int,reg,eur,lufthansa,1,28351
2016,int,reg,eur,neos air,1,5182
2016,int,reg,eur,thomas cook airlines,1,9349
2016,int,reg,eur,tui fly belgium,1,2214
2016,int,reg,eur,tui airlines nederland,1,3294
2016,int,reg,eur,virgin atlantic airways limited,1,5709
2016,int,reg,eur,wamos air,1,5185
