Ano,MesNum,Aeropuerto,Pais,Sexo,Valor_Residencia,Prediccion_XGB,Error_pct
2023,10,"a.i. tepic amado nervo, nay.",estados unidos,hombre,3,3.9789891,32.6
2023,1,"acapulco, gro.",alemania,hombre,1,2.517712,151.8
2023,3,"acapulco, gro.",alemania,hombre,2,2.570081,28.5
2023,7,"acapulco, gro.",alemania,hombre,1,1.6186802,61.9
2023,3,"acapulco, gro.",alemania,mujer,2,3.1360679,56.8
2023,3,"acapulco, gro.",argentina,hombre,2,1.7151644,14.2
2023,3,"acapulco, gro.",argentina,mujer,1,1.7131913,71.3
2023,2,"acapulco, gro.",australia,hombre,1,2.1887112,118.9
2023,3,"acapulco, gro.",australia,hombre,1,2.2911189,129.1
2023,2,"acapulco, gro.",austria,hombre,3,1.6044732,46.5
2023,2,"acapulco, gro.",brasil,hombre,1,4.692694,369.3
2023,3,"acapulco, gro.",brasil,hombre,1,2.0129335,101.3
2023,3,"acapulco, gro.",brasil,mujer,1,4.3453803,334.5
2023,1,"acapulco, gro.",canada,hombre,1200,579.4468,51.7
2023,2,"acapulco, gro.",canada,hombre,929,723.9153,22.1
2023,3,"acapulco, gro.",canada,hombre,578,563.6168,2.5
2023,4,"acapulco, gro.",canada,hombre,60,126.34561,110.6
2023,5,"acapulco, gro.",canada,hombre,1,6.9335794,593.4
2023,7,"acapulco, gro.",canada,hombre,1,4.1858134,318.6
2023,8,"acapulco, gro.",canada,hombre,4,2.5440845,36.4
2023,9,"acapulco, gro.",canada,hombre,1,3.3427286,234.3
2023,10,"acapulco, gro.",canada,hombre,9,12.239329,36.0
2023,1,"acapulco, gro.",canada,mujer,1437,637.48663,55.6
2023,2,"acapulco, gro.",canada,mujer,1119,931.5334,16.8
2023,3,"acapulco, gro.",canada,mujer,635,717.30536,13.0
2023,4,"acapulco, gro.",canada,mujer,78,112.8834,44.7
2023,5,"acapulco, gro.",canada,mujer,3,9.5794115,219.3
2023,8,"acapulco, gro.",canada,mujer,6,4.7389774,21.0
2023,10,"acapulco, gro.",canada,mujer,8,8.567248,7.1
2023,1,"acapulco, gro.","checa, rep.",hombre,1,1.2448987,24.5
2023,3,"acapulco, gro.","checa, rep.",mujer,1,1.3382034,33.8
2023,3,"acapulco, gro.",chile,hombre,1,1.692107,69.2
2023,5,"acapulco, gro.",chile,hombre,1,1.5366814,53.7
2023,10,"acapulco, gro.",chile,hombre,1,1.6145896,61.5
2023,5,"acapulco, gro.",china,hombre,2,1.4432864,27.8
2023,5,"acapulco, gro.",colombia,hombre,1,1.6762693,67.6
2023,3,"acapulco, gro.",colombia,mujer,1,2.485081,148.5
2023,3,"acapulco, gro.",costa rica,mujer,1,1.6227994,62.3
2023,3,"acapulco, gro.",cuba,hombre,2,2.000004,0.0
2023,3,"acapulco, gro.",cuba,mujer,2,2.015051,0.8
2023,2,"acapulco, gro.",egipto,hombre,1,1.2209277,22.1
2023,3,"acapulco, gro.",eslovaquia,hombre,2,1.2565523,37.2
2023,1,"acapulco, gro.",espana,hombre,1,2.1007695,110.1
2023,2,"acapulco, gro.",espana,hombre,4,2.024728,49.4
2023,3,"acapulco, gro.",espana,hombre,1,2.6314607,163.1
2023,4,"acapulco, gro.",espana,hombre,1,2.3361483,133.6
2023,5,"acapulco, gro.",espana,hombre,2,1.7140146,14.3
2023,7,"acapulco, gro.",espana,hombre,1,1.7750149,77.5
2023,8,"acapulco, gro.",espana,hombre,1,1.8573015,85.7
2023,3,"acapulco, gro.",espana,mujer,1,2.268989,126.9
2023,1,"acapulco, gro.",estados unidos,hombre,453,690.38,52.4
2023,2,"acapulco, gro.",estados unidos,hombre,427,509.56088,19.3
2023,3,"acapulco, gro.",estados unidos,hombre,417,531.75055,27.5
2023,4,"acapulco, gro.",estados unidos,hombre,142,120.21126,15.3
2023,5,"acapulco, gro.",estados unidos,hombre,77,62.660694,18.6
2023,6,"acapulco, gro.",estados unidos,hombre,179,95.83791,46.5
2023,7,"acapulco, gro.",estados unidos,hombre,195,146.77464,24.7
2023,8,"acapulco, gro.",estados unidos,hombre,141,109.11504,22.6
2023,9,"acapulco, gro.",estados unidos,hombre,90,79.10544,12.1
2023,10,"acapulco, gro.",estados unidos,hombre,52,119.41626,129.6
2023,12,"acapulco, gro.",estados unidos,hombre,1,146.76224,14576.2
2023,1,"acapulco, gro.",estados unidos,mujer,507,688.0255,35.7
2023,2,"acapulco, gro.",estados unidos,mujer,399,560.60895,40.5
2023,3,"acapulco, gro.",estados unidos,mujer,495,560.5881,13.3
2023,4,"acapulco, gro.",estados unidos,mujer,143,187.60782,31.2
2023,5,"acapulco, gro.",estados unidos,mujer,79,58.46167,26.0
2023,6,"acapulco, gro.",estados unidos,mujer,201,100.7819,49.9
2023,7,"acapulco, gro.",estados unidos,mujer,252,168.17203,33.3
2023,8,"acapulco, gro.",estados unidos,mujer,126,132.99416,5.6
2023,9,"acapulco, gro.",estados unidos,mujer,100,71.94333,28.1
2023,10,"acapulco, gro.",estados unidos,mujer,54,138.93411,157.3
2023,12,"acapulco, gro.",estados unidos,mujer,1,138.34535,13734.5
2023,4,"acapulco, gro.",estonia,hombre,1,1.2019435,20.2
2023,2,"acapulco, gro.",filipinas,mujer,1,1.2565181,25.7
2023,2,"acapulco, gro.",francia,hombre,1,2.9971514,199.7
2023,3,"acapulco, gro.",francia,hombre,1,2.3685436,136.9
2023,1,"acapulco, gro.",francia,mujer,1,1.9061456,90.6
2023,3,"acapulco, gro.",francia,mujer,2,2.0054865,0.3
2023,3,"acapulco, gro.",guatemala,hombre,15,1.9534622,87.0
2023,3,"acapulco, gro.",guatemala,mujer,10,2.2511842,77.5
2023,2,"acapulco, gro.",hungria,hombre,2,1.2273432,38.6
2023,3,"acapulco, gro.",india,mujer,1,1.4223961,42.2
2023,2,"acapulco, gro.",indonesia,hombre,1,1.43849,43.8
2023,5,"acapulco, gro.",indonesia,mujer,2,1.22171,38.9
2023,3,"acapulco, gro.",iran,hombre,1,1.3198208,32.0
2023,5,"acapulco, gro.",irlanda,mujer,1,1.0024592,0.2
2023,2,"acapulco, gro.",italia,hombre,2,2.0461624,2.3
2023,3,"acapulco, gro.",italia,hombre,2,1.9900445,0.5
2023,5,"acapulco, gro.",italia,hombre,1,1.5350062,53.5
2023,2,"acapulco, gro.",italia,mujer,2,1.9048328,4.8
2023,3,"acapulco, gro.",italia,mujer,1,1.9299172,93.0
2023,9,"acapulco, gro.",japon,hombre,1,1.9586787,95.9
2023,2,"acapulco, gro.",japon,mujer,1,1.5683699,56.8
2023,5,"acapulco, gro.",japon,mujer,1,1.3990612,39.9
2023,9,"acapulco, gro.",japon,mujer,1,0.9752264,2.5
2023,3,"acapulco, gro.",lituania,mujer,1,1.195371,19.5
2023,2,"acapulco, gro.",noruega,hombre,4,1.5425787,61.4
2023,5,"acapulco, gro.",noruega,mujer,1,1.0417082,4.2
2023,1,"acapulco, gro.",nueva zelandia,hombre,1,1.3338528,33.4
2023,7,"acapulco, gro.",nueva zelandia,hombre,1,1.494187,49.4
2023,10,"acapulco, gro.",nueva zelandia,hombre,3,1.4039073,53.2
2023,10,"acapulco, gro.",nueva zelandia,mujer,1,1.2576418,25.8
2023,1,"acapulco, gro.",paises bajos (holanda),hombre,1,1.5632179,56.3
2023,3,"acapulco, gro.",paises bajos (holanda),hombre,4,1.6705681,58.2
2023,2,"acapulco, gro.",paises bajos (holanda),mujer,1,1.6091946,60.9
2023,3,"acapulco, gro.",paises bajos (holanda),mujer,4,1.7950068,55.1
2023,2,"acapulco, gro.",paraguay,hombre,1,1.4685783,46.9
2023,3,"acapulco, gro.",paraguay,hombre,1,1.428793,42.9
2023,5,"acapulco, gro.",peru,hombre,28,1.7387128,93.8
2023,5,"acapulco, gro.",peru,mujer,43,1.2981316,97.0
2023,5,"acapulco, gro.",polonia,hombre,1,1.3216206,32.2
2023,6,"acapulco, gro.",polonia,hombre,1,1.2645272,26.5
2023,2,"acapulco, gro.",portugal,hombre,1,1.5438908,54.4
2023,1,"acapulco, gro.",reino unido,hombre,2,3.3257644,66.3
2023,2,"acapulco, gro.",reino unido,hombre,3,3.588766,19.6
2023,3,"acapulco, gro.",reino unido,hombre,3,3.5141501,17.1
2023,1,"acapulco, gro.",reino unido,mujer,1,2.3222146,132.2
2023,3,"acapulco, gro.",reino unido,mujer,2,2.3252976,16.3
2023,3,"acapulco, gro.",rusia,mujer,1,1.8308275,83.1
2023,5,"acapulco, gro.",suecia,hombre,1,1.2860477,28.6
2023,2,"acapulco, gro.",turquia,hombre,4,1.3391248,66.5
2023,2,"acapulco, gro.",ucrania,hombre,1,1.44433,44.4
2023,3,"acapulco, gro.",ucrania,hombre,2,1.4451361,27.7
2023,2,"acapulco, gro.",ucrania,mujer,2,1.3866974,30.7
2023,3,"acapulco, gro.",ucrania,mujer,1,1.5471292,54.7
2023,3,"acapulco, gro.",uruguay,hombre,1,1.3695264,37.0
2023,1,"acapulco, gro.",vaticano,mujer,1,1.1529088,15.3
2023,5,"acapulco, gro.",venezuela,hombre,1,1.7645988,76.5
2023,1,"aguascalientes, ags.",alemania,hombre,8,3.4258823,57.2
2023,2,"aguascalientes, ags.",alemania,hombre,9,4.933952,45.2
2023,3,"aguascalientes, ags.",alemania,hombre,11,6.205234,43.6
2023,4,"aguascalientes, ags.",alemania,hombre,11,8.342475,24.2
2023,5,"aguascalientes, ags.",alemania,hombre,11,7.6524653,30.4
2023,6,"aguascalientes, ags.",alemania,hombre,15,7.386055,50.8
2023,7,"aguascalientes, ags.",alemania,hombre,9,10.845547,20.5
2023,8,"aguascalientes, ags.",alemania,hombre,20,10.389831,48.1
2023,9,"aguascalientes, ags.",alemania,hombre,11,11.12996,1.2
2023,10,"aguascalientes, ags.",alemania,hombre,26,10.446605,59.8
2023,11,"aguascalientes, ags.",alemania,hombre,14,17.472342,24.8
2023,12,"aguascalientes, ags.",alemania,hombre,25,9.615166,61.5
2023,1,"aguascalientes, ags.",alemania,mujer,4,2.2043176,44.9
2023,2,"aguascalientes, ags.",alemania,mujer,6,2.4967327,58.4
2023,3,"aguascalientes, ags.",alemania,mujer,10,2.5446098,74.6
2023,4,"aguascalientes, ags.",alemania,mujer,2,4.7309594,136.5
2023,5,"aguascalientes, ags.",alemania,mujer,9,2.8589995,68.2
2023,6,"aguascalientes, ags.",alemania,mujer,5,4.06694,18.7
2023,7,"aguascalientes, ags.",alemania,mujer,3,4.203668,40.1
2023,8,"aguascalientes, ags.",alemania,mujer,6,3.9638076,33.9
2023,9,"aguascalientes, ags.",alemania,mujer,6,3.2549958,45.8
2023,10,"aguascalientes, ags.",alemania,mujer,8,4.1717267,47.9
2023,11,"aguascalientes, ags.",alemania,mujer,6,6.0573144,1.0
2023,12,"aguascalientes, ags.",alemania,mujer,3,4.712943,57.1
2023,5,"aguascalientes, ags.",andorra,mujer,1,1.2108392,21.1
2023,7,"aguascalientes, ags.",arabia saudita,mujer,1,1.6311965,63.1
