Ano,MesNum,Aeropuerto,Pais,Sexo,Valor_Residencia,Prediccion_XGB_Mejorado,Error_pct
2023,10,"a.i. tepic amado nervo, nay.",estados unidos,hombre,3,4.0318704,34.4
2023,1,"acapulco, gro.",alemania,hombre,1,2.428091,142.8
2023,3,"acapulco, gro.",alemania,hombre,2,2.684505,34.2
2023,7,"acapulco, gro.",alemania,hombre,1,1.6796398,68.0
2023,3,"acapulco, gro.",alemania,mujer,2,3.768452,88.4
2023,3,"acapulco, gro.",argentina,hombre,2,1.559246,22.0
2023,3,"acapulco, gro.",argentina,mujer,1,1.5557368,55.6
2023,2,"acapulco, gro.",australia,hombre,1,2.0036197,100.4
2023,3,"acapulco, gro.",australia,hombre,1,2.3143306,131.4
2023,2,"acapulco, gro.",austria,hombre,3,1.7266937,42.4
2023,2,"acapulco, gro.",brasil,hombre,1,2.7504978,175.0
2023,3,"acapulco, gro.",brasil,hombre,1,2.131732,113.2
2023,3,"acapulco, gro.",brasil,mujer,1,3.0778656,207.8
2023,1,"acapulco, gro.",canada,hombre,1200,977.78265,18.5
2023,2,"acapulco, gro.",canada,hombre,929,938.4257,1.0
2023,3,"acapulco, gro.",canada,hombre,578,579.3206,0.2
2023,4,"acapulco, gro.",canada,hombre,60,66.68069,11.1
2023,5,"acapulco, gro.",canada,hombre,1,2.617383,161.7
2023,7,"acapulco, gro.",canada,hombre,1,2.439174,143.9
2023,8,"acapulco, gro.",canada,hombre,4,3.0842793,22.9
2023,9,"acapulco, gro.",canada,hombre,1,2.2917066,129.2
2023,10,"acapulco, gro.",canada,hombre,9,12.329736,37.0
2023,1,"acapulco, gro.",canada,mujer,1437,1210.9982,15.7
2023,2,"acapulco, gro.",canada,mujer,1119,1095.6938,2.1
2023,3,"acapulco, gro.",canada,mujer,635,704.5449,11.0
2023,4,"acapulco, gro.",canada,mujer,78,68.84065,11.7
2023,5,"acapulco, gro.",canada,mujer,3,3.7205584,24.0
2023,8,"acapulco, gro.",canada,mujer,6,4.5892386,23.5
2023,10,"acapulco, gro.",canada,mujer,8,9.424955,17.8
2023,1,"acapulco, gro.","checa, rep.",hombre,1,1.2071396,20.7
2023,3,"acapulco, gro.","checa, rep.",mujer,1,1.3464079,34.6
2023,3,"acapulco, gro.",chile,hombre,1,1.7221439,72.2
2023,5,"acapulco, gro.",chile,hombre,1,1.6120737,61.2
2023,10,"acapulco, gro.",chile,hombre,1,1.6656728,66.6
2023,5,"acapulco, gro.",china,hombre,2,1.8966203,5.2
2023,5,"acapulco, gro.",colombia,hombre,1,1.8171221,81.7
2023,3,"acapulco, gro.",colombia,mujer,1,2.1200845,112.0
2023,3,"acapulco, gro.",costa rica,mujer,1,1.5757151,57.6
2023,3,"acapulco, gro.",cuba,hombre,2,2.2526019,12.6
2023,3,"acapulco, gro.",cuba,mujer,2,2.2254143,11.3
2023,2,"acapulco, gro.",egipto,hombre,1,1.2513604,25.1
2023,3,"acapulco, gro.",eslovaquia,hombre,2,1.3603642,32.0
2023,1,"acapulco, gro.",espana,hombre,1,1.7596338,76.0
2023,2,"acapulco, gro.",espana,hombre,4,2.4883082,37.8
2023,3,"acapulco, gro.",espana,hombre,1,2.9415302,194.2
2023,4,"acapulco, gro.",espana,hombre,1,2.0269308,102.7
2023,5,"acapulco, gro.",espana,hombre,2,1.8716309,6.4
2023,7,"acapulco, gro.",espana,hombre,1,1.7267286,72.7
2023,8,"acapulco, gro.",espana,hombre,1,1.8292449,82.9
2023,3,"acapulco, gro.",espana,mujer,1,2.1928234,119.3
2023,1,"acapulco, gro.",estados unidos,hombre,453,684.5896,51.1
2023,2,"acapulco, gro.",estados unidos,hombre,427,476.45932,11.6
2023,3,"acapulco, gro.",estados unidos,hombre,417,473.70972,13.6
2023,4,"acapulco, gro.",estados unidos,hombre,142,99.873116,29.7
2023,5,"acapulco, gro.",estados unidos,hombre,77,68.83699,10.6
2023,6,"acapulco, gro.",estados unidos,hombre,179,126.14811,29.5
2023,7,"acapulco, gro.",estados unidos,hombre,195,158.8369,18.5
2023,8,"acapulco, gro.",estados unidos,hombre,141,105.52476,25.2
2023,9,"acapulco, gro.",estados unidos,hombre,90,75.31099,16.3
