Ano,MesNum,Aeropuerto,Pais,Sexo,Valor_Residencia,Prediccion_XGB_Mejorado,Error_pct
2023,10,"a.i. tepic amado nervo, nay.",estados unidos,hombre,3,6.160921,105.4
2023,1,"acapulco, gro.",alemania,hombre,1,3.104273,210.4
2023,3,"acapulco, gro.",alemania,hombre,2,3.6667507,83.3
2023,7,"acapulco, gro.",alemania,hombre,1,2.008547,100.9
2023,3,"acapulco, gro.",alemania,mujer,2,7.6396985,282.0
2023,3,"acapulco, gro.",argentina,hombre,2,2.606055,30.3
2023,3,"acapulco, gro.",argentina,mujer,1,2.5579755,155.8
2023,2,"acapulco, gro.",australia,hombre,1,2.567987,156.8
2023,3,"acapulco, gro.",australia,hombre,1,2.8276687,182.8
2023,2,"acapulco, gro.",austria,hombre,3,1.6701751,44.3
2023,2,"acapulco, gro.",brasil,hombre,1,5.656891,465.7
2023,3,"acapulco, gro.",brasil,hombre,1,2.3985758,139.9
2023,3,"acapulco, gro.",brasil,mujer,1,6.4297442,543.0
2023,1,"acapulco, gro.",canada,hombre,1200,583.5689,51.4
2023,2,"acapulco, gro.",canada,hombre,929,811.6166,12.6
2023,3,"acapulco, gro.",canada,hombre,578,706.5435,22.2
2023,4,"acapulco, gro.",canada,hombre,60,148.15656,146.9
2023,5,"acapulco, gro.",canada,hombre,1,6.0246844,502.5
2023,7,"acapulco, gro.",canada,hombre,1,4.6451993,364.5
2023,8,"acapulco, gro.",canada,hombre,4,3.2451055,18.9
2023,9,"acapulco, gro.",canada,hombre,1,12.225437,1122.5
2023,10,"acapulco, gro.",canada,hombre,9,16.161943,79.6
2023,1,"acapulco, gro.",canada,mujer,1437,631.88837,56.0
2023,2,"acapulco, gro.",canada,mujer,1119,910.28687,18.7
2023,3,"acapulco, gro.",canada,mujer,635,783.6035,23.4
2023,4,"acapulco, gro.",canada,mujer,78,83.58641,7.2
2023,5,"acapulco, gro.",canada,mujer,3,6.52668,117.6
2023,8,"acapulco, gro.",canada,mujer,6,4.99097,16.8
2023,10,"acapulco, gro.",canada,mujer,8,6.993173,12.6
2023,1,"acapulco, gro.","checa, rep.",hombre,1,1.2095674,21.0
2023,3,"acapulco, gro.","checa, rep.",mujer,1,1.4524412,45.2
2023,3,"acapulco, gro.",chile,hombre,1,2.1282754,112.8
2023,5,"acapulco, gro.",chile,hombre,1,1.9016412,90.2
2023,10,"acapulco, gro.",chile,hombre,1,1.9315693,93.2
2023,5,"acapulco, gro.",china,hombre,2,1.36121,31.9
2023,5,"acapulco, gro.",colombia,hombre,1,1.9142618,91.4
2023,3,"acapulco, gro.",colombia,mujer,1,3.4457335,244.6
2023,3,"acapulco, gro.",costa rica,mujer,1,2.4773061,147.7
2023,3,"acapulco, gro.",cuba,hombre,2,3.4154317,70.8
